,0,1,2,3,4
1,1,الفَاتِحَة,al-Fatihah,al-faatiHah,The Opening
2,2,البَقَرَة,al-Baqarah,al-baqarah,The Cow
3,3,آل عِمرَان,Al-Imran,aali-`imraan,The Family Of Imran
4,4,النِّسَاء,an-Nisa',an-nisaa',Women
5,5,المَائدة,al-Ma'idah,al-maa'idah,The Food
6,6,الأنعَام,al-An`am,al-an`aam,The Cattle
7,7,الأعرَاف,al-A`raf,al-a`raaf,The Elevated Places
8,8,الأنفَال,al-Anfal,al-anfaal,The Spoils Of War
9,9,التوبَة,at-Taubah,at-tawbah,Repentance
10,10,يُونس,Yunus,yoonus,Jonah
11,11,هُود,Hud,hood,Hud
12,12,يُوسُف,Yusuf,yoosuf,Joseph
13,13,الرَّعْد,ar-Ra`d,ar-Ra`d,The Thunder
14,14,إبراهِيم,Ibrahim,ibraheem,Abraham
15,15,الحِجْر,al-Hijr,al-Hijr,The Rock
16,16,النَّحْل,an-Nahl,an-naHl,The Bee
17,17,الإسْرَاء,Al-Isra,al-Isra',The Night Journey
18,18,الكهْف,al-Kahf,al-kahf,The Cave
19,19,مَريَم,Maryam,maryam,Mary
20,20,طه,Ta Ha,Taa haa,Ta Ha
21,21,الأنبيَاء,al-Anbiya',al-anbiyaa',The Prophets
22,22,الحَج,al-Hajj,al-Hajj,The Pilgrimage
23,23,المُؤمنون,al-Mu'minun,al-mu'minoon,The Believers
24,24,النُّور,an-Nur,an-noor,The Light
25,25,الفُرْقان,al-Furqan,al-furqaan,The Criterion
26,26,الشُّعَرَاء,ash-Shu`ara',ash-shu`araa',The Poets
27,27,النَّمْل,an-Naml,an-naml,The Ant
28,28,القَصَص,al-Qasas,al-qasas,The Narrative
29,29,العَنكبوت,al-`Ankabut,al-`ankaboot,The Spider
30,30,الرُّوم,ar-Rum,ar-room,The Romans
31,31,لقمَان,Luqman,luqmaan,Lukman
32,32,السَّجدَة,as-Sajdah,as-sajdah,The Adoration
33,33,الأحزَاب,al-Ahzab,al-aHzab,The Allies
34,34,سَبَأ,Saba',as-Saba',Sheba
35,35,فَاطِر,Fatir,faaTir,The Creator
36,36,يس,Ya Sin,yaa seen,Ya Sin
37,37,الصَّافات,as-Saffat,aS-Saaffaat,The Rangers
38,38,ص,Sad,Saad,Sad
39,39,الزُّمَر,az-Zumar,az-zumar,The Companies
40,40,غَافِر,Ghafir,Ghafir,The Forgiving One
41,41,فُصِّلَتْ,Fussilat,Fussilat,Revelations Well Expounded
